-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,0.01,0.02,0.02,0.03,0.08,-1,-1,-1,-1,-1,0.04,0.08,0.04,-1,-1,-1,0.22,0.18,0.28,0.37,0.48,0.38,-1,-1,-1,-1,0.53,0.41,-1,-1,-1,0.18,0.13,0.06,0.09,0.09,0.09,0.04,0.08,0.07,0.09,0.05,0.12,0.07,0.08,0.12,0.08,0.03,0.12,0.11,0.09,0.13,0.18,0.14,0.29,0.19,0.24,0.18,0.24,0.12,0.15,0.09,0.03,0.05,0.02,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.01,0,0.01,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.03,0.04,0.04,0.04,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16,0.26,0.3,0.43,0.39,0.34,0.36,-1,-1,-1,-1,-1,-1,-1,-1,0.13,0.22,0.1,0.12,0.1,0.09,0.04,0.08,0.03,0.06,0.08,0.07,0.05,0.09,0.08,0.07,0.1,0.16,0.07,0.15,0.14,0.2,0.13,0.13,0.11,0.12,0.11,0.07,0.11,0.04,0.07,0.05,0.07,0.05,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
0.02,0.02,0.03,0,0,0.01,0.01,0.03,0,0.03,0.04,0.02,0.03,0.04,0.02,0.02,0.02,0.02,0.09,0.05,-1,-1,-1,-1,-1,-1,-1,0.1,0.31,0.14,0.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.18,0.13,-1,0.08,0.08,0.07,0.03,0.11,0.09,0.02,-1,-1,-1,-1,-1,-1,0.03,0.07,0.05,0.1,0.11,0.09,0.11,0.11,0.09,0.1,0.11,0.03,0.07,0.05,0.04,0.03,0.02,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.02,0.02,0,0.03,0.01,0,0.03,0.03,0,0.01,0.02,0.02,0.04,0.03,0.03,0.02,0.02,0.04,0.04,0.04,0.1,0.08,0.04,-1,-1,-1,-1,0.08,0.14,0.07,0.16,-1,-1,-1,-1,-1,-1,0.3,0.21,0.19,0.13,0.16,-1,-1,-1,-1,0.09,0.09,0.04,0.03,0.09,0.08,-1,-1,-1,-1,-1,-1,0.08,0.08,0.07,0.13,0.12,0.05,0.05,0.06,0.07,0.06,0.06,0.01,0.02,0.05,0.08,0.04,0.01,0.01,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.02,0,0.04,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.04,0.02,0.02,0,0.04,0.01,-1,0.03,0.02,0.04,0.08,0.03,0.04,0.02,0.02,0.09,0.07,0.07,0.06,0.06,0.12,0.17,0.14,0.24,0.14,0.14,0.13,0.16,0.16,0.27,-1,-1,-1,-1,0.1,0.1,0.02,0.11,0.04,0.09,0.04,0.1,-1,-1,-1,0.05,0.07,0.09,0.12,0.05,0.05,0.03,0.05,0,0.02,0.02,0.02,0.03,0,0.02,0.01,0.01,0.04,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
0,0.01,0.02,0,0,0,0.01,0.01,0,0.01,0.03,0,0.02,0.07,0.01,0.01,-1,-1,-1,0.01,0,0.01,0.03,0.05,0.01,0.03,0.06,0.03,0.07,0.13,0.08,0.15,0.11,-1,-1,-1,0.07,0.17,-1,-1,-1,-1,0.05,0.06,0.08,0.08,0.06,0.03,0.05,0.07,0.05,0.06,0.1,0.04,0.06,0.07,0.04,0.04,0.05,0.05,0.05,0.02,0.05,0.04,0.06,0.0900000000000001,0.12,0.12,0.1,0.05,0.02,0.02,0.06,0.08,0.02,0.1,0.06,-1,0.03,0,0.01,-1,-1,0.01,0.01,0.02,0.01,0,0,0,0,0,0.01,0.02,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.01,0.01,0.02,0,0,0,0,0.01,0,0.02,0.01,0,0.02,0.05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,0.16,0.13,-1,-1,-1,-1,-1,-1,-1,0.12,0.12,0.08,0.1,0.11,0.08,0.07,0.04,0.11,0.04,0.03,0.05,0.06,0.04,0.02,0.04,0.07,0.03,0.06,0.04,0.07,0.09,-1,-1,-1,-1,-1,-1,-1,0.08,0.02,0.01,-1,-1,-1,0.08,0.06,-1,0,0,0.02,-1,-1,0.01,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.02,0.01,0,0.01,0.02,0,0,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.05,0.02,0.04,0.07,0.07,0.08,0.05,0.09,0.11,0.08,0.07,0.11,0.1,0.1,0.14,0.11,0.09,0.13,0.08,0.05,0.07,-1,-1,0.03,0.03,0.03,0.06,0.06,0.06,0.04,0.02,0.06,0.05,0.04,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1,0.01,0.01,-1,-1,-1,-1,-1,-1,0,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0.01,0.01,0,0.01,0,0.01,0.02,0.01,0.01,-1,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.03,0.02,0.04,0.09,0.1,0.07,0.1,0.08,0.08,0.04,0.12,0.05,0.07,0.06,0.1,0.06,0.08,0.03,0.05,0.09,-1,-1,-1,0.08,-1,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.06,0.03,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0.01,0.01,-1,-1,-1,-1,-1,0.02,0.02,0.02,0.01,-1,-1,-1,-1,-1,-1,0.01,0,0.01,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0.02,0,0,0.02,0,0.01,0,0,0.02,0.01,0,0,0.01,0.02,0.03,0.02,0.01,0,0,0.01,0,0.01,0.03,0.01,0.02,0.03,0.02,0.02,0.04,0.04,0.08,0.11,0.08,0.12,0.09,0.06,0.06,0.05,0.02,0.04,0.09,0.05,-1,-1,-1,0.03,-1,0.04,-1,0.05,0.05,0.01,0.02,0.02,0.01,0.03,0.03,0.05,0.03,-1,-1,-1,0.04,0.06,0.06,0.05,0.03,0.03,0.06,0.06,0,0.02,0.04,0.02,0.01,0.01,0.02,-1,0.01,0.01,0.01,0,0,0.01,0.01,0,0.02,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0.01,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0.03,0.01,0.01,0,0,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.04,0.05,0,0.01,0.07,0.03,0.06,0.01,0.01,0.07,0.09,0.05,0.05,0.06,0.02,0.06,-1,-1,-1,-1,-1,0.03,-1,-1,-1,-1,0.06,0.01,0.06,0.01,0.04,0.04,0.04,0.05,0.06,0.04,0.02,0.01,0.04,0.05,0.01,0.04,0.04,0.02,0.01,0.04,0,0.01,0.07,0.02,0.04,0.03,0.01,0.02,0,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0,0,0,0.02,0,0,0,0,0.01,0,0.01,0,0,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0.01,0,0,0,0,0,0,-1,-1,0.01,0.01,0,0,0.02,0.02,0,0.01,0.02,0.01,0,0.02,0,0.01,-1,-1,-1,-1,0.01,0.01,0.02,0.01,0.04,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07,-1,-1,-1,-1,-1,-1,0.02,0.04,0.02,0.02,0.05,0.03,0.02,0.03,0,0.04,0.04,0.02,0.06,0.02,0.02,0.01,0.04,0.03,0.03,0.02,0,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0,0.03,0.02,0,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0.01,0,0,0,0.02,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.01,0.01,0.05,-1,0.08,0.01,-1,-1,-1,-1,-1,-1,0.01,0.04,-1,-1,-1,-1,-1,-1,0.03,0,0.02,0.05,0.01,0.03,0.07,-1,-1,-1,-1,0.08,0.03,0.04,0.02,0.03,0.03,0.02,0.02,0.06,0.01,0.02,0,0,0.01,0.01,0.03,0.01,0.01,0,0.01,0,0,0.01,0,0,0.01,-1,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,-1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0.01,0.01,0.03,0.04,0.03,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0.03,0.05,0.01,0.03,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06,0.04,0.01,0.01,0.02,0.03,0.03,0,-1,-1,-1,-1,0,0.02,0.03,0.02,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0.01,0,-1,0.01,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0.02,0.02,0,0,0.01,0,0.01,0.02,0,0,0,0,0.01,0,0,0,0.01,0,0.02,0,0.01,0,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0.03,0,0,0,0.01,0.01,0.02,0,0.02,0.01,0.03,0.01,0.01,0,0,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0,0.01,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.02,0.06,0,0,0.03,0.01,0.02,0.02,0.03,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0.02,0.03,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.02,0,0,0.01,0,0.01,0,0,0,-1,0,0,-1,0,0,0,0,0,0.02,0.02,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0.01,0,0,0.01,0,0.01,0.02,0.01,0.01,0.02,0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0.03,0.04,0.02,0.06,0,0.03,0.05,0.03,0.03,0.02,0.02,0,0.03,0.03,0.02,0.01,0.02,0.04,0.01,-1,-1,-1,-1,-1,-1,0,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0,0.01,0.01,0.02,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.02,0,0,0,0.01,0.01,0,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1
0,0,0.01,0.01,0,0,0.01,0,0,0,0.01,0,0.02,0.01,0.01,0,0.01,0,0,0,0.02,0,0.03,0,0,0.02,0.02,0.01,0.01,0.02,0.01,0.05,0.04,0.01,0.02,0.04,0.04,0.02,0.03,0.01,0.03,0.05,0.01,0.02,0.03,0,0.02,0.04,0.03,0,0.02,0.01,0.05,0.01,0.03,0.04,0.05,0.03,0.01,0.01,0,0,0.04,0.01,0,0.01,0,0.01,0.02,0.01,-1,-1,-1,-1,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0.01,0,0.01,0,0,0,0.02,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,-1,-1,-1,-1,-1,-1,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0,0.01,0.02,0,0,0,0.01,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0,0.03,0.02,0.03,0.01,0.04,0.01,0.03,0,0.01,0,0.04,0.03,0.02,0.02,0.02,0,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.04,0,0.02,0.02,0.02,0.03,0.01,0,0.01,0.03,0.01,0,0,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.02,0.01,0,0,0.01,0,0.02,0,0.02,0,0,0,0.01,0,0,0,0.01,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0.01
0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0.01,0,0.01,0,0.01,0.02,0,0.01,0,0,0,0.01,0,0,0.02,0.03,0.03,0.01,0.05,0.01,0.03,0.02,0.01,0.03,0.01,0,0.01,0.02,0.02,0.03,0.02,0,0.03,0.01,0.03,0.01,0.01,0.03,0,0.01,0.02,0.01,0.01,0.04,0,0,0.01,0.02,0.02,0,0.01,0.01,0,0.01,0,0,0,0,0,0.01,0.02,0.01,0,0,0,0,0.01,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0.02,0.02,0,0.01,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,-1,-1,-1,-1,-1,-1,0.02,0.04,0.02,0.02,0,0.04,0.03,0,0.02,0.01,0.01,0.04,0.01,0.01,0,0.01,0,0.02,0.01,0.01,0,0,0.01,0.02,0.01,0.01,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0.03,0,0,0,0.01,0.01,0,0,0.02,0,0.02,0.02,0.02,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0,0.01,0.01,0.02,0.01,0,0,0,0.04,0,0.01,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0.02,0,0,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0.01,0.01,-1,-1,-1,-1,-1,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,0.01,0.02,0.01,-1,-1,-1,0,0.01,0.01,0.01,0,0.01,0,0,0,0.02,0.01,0.02,0,0.01,0,0,0.01,0,0.01,0.03,0.01,0.03,0.01,0,0,0,0.02,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0.02,0.02,0.03,0,0.01,0,0,0.01,0,0.01,0,0,0.03,0.02,0.01,0,0.01,0.03,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0.01,0.01,0.02,0,0
0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.02,0.01,0,0.02,0,0,-1,-1,-1,-1,-1,0.01,0,0,-1,-1,-1,-1,-1,-1,-1,0,0.02,0.02,0.03,0.01,-1,-1,-1,0,0,0.01,0.02,0.01,0,0.01,0,0.02,0.01,0,0,0.01,0,0,0.03,0,0.04,0.01,0,0.03,0.02,0.01,0.02,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0.03,0,0.01,0,0.01,0.01,0.02,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0.01,0,0.01,0,0.01,0,0,0.03,0.02,0.01,0,0,0,0.02,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0
-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0,0,0.01,0.02,0.01,0,0,0.01,0,0,0.01,0.02,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.01,0.03,0.03,-1,-1,-1,0,0.02,0.01,0,0.01,0,0.01,0.01,0,0,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.02,0,0,0,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.02,0,0,0.01,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0,0.03,0,0.01,0,0.01,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.02,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0
-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0.01,0,-1,-1,-1,-1,-1,-1,-1,0.01,0.01,0.01,0.01,0.01,0.03,-1,-1,-1,0.01,0.01,0.01,0.01,0.01,0.02,0,0,0,0.01,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0,0,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0,-1,-1,0.01,0,0,-1,0,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,0.01,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0
